class,physiological_width,aspect_ratio,rectangularity,eccentricity,hue,value,correlation 90,homogeneity 0,homogeneity 45,homogeneity 90,homogeneity 135,dissimilarity 0,dissimilarity 45,dissimilarity 90,dissimilarity 135,contrast 0,contrast 45,contrast 90,contrast 135,ASM 0,ASM 45,ASM 90,ASM 135,energy 0,energy 45,energy 90,energy 135,entropy 0,entropy 45,entropy 90,entropy 135
1,398,0.736180905,1.55157434,0.676784808,39.84068808,199.0022639,0.928410574,0.385350215,0.385766124,0.413738348,0.394444744,11.52770798,10.72087366,8.455627057,10.93628476,646.1528999,573.2158239,410.3638503,637.932122,0.102701645,0.100728562,0.107843154,0.099814005,0.320470974,0.317377634,0.328394813,0.315933545,1.143386407,1.118663003,1.044054215,1.135818634
1,364,0.755494505,1.484227305,0.655154983,38.97588412,193.7568831,0.884654268,0.341969605,0.333275692,0.344286021,0.331609888,14.4460928,14.49146166,13.31722461,15.02159697,883.4710419,855.1010763,711.2001925,899.979182,0.082911215,0.080496267,0.087242994,0.079463795,0.287943076,0.283718641,0.29536925,0.281893234,1.255918431,1.25400578,1.240150472,1.244352193
1,328,0.887195122,1.452288029,0.461394425,40.47927667,209.2630647,0.852687644,0.334585248,0.323666352,0.336374195,0.326915759,13.62711069,14.01920678,12.63187684,13.52514303,604.9848627,642.2974147,548.1769493,604.9283994,0.077543379,0.073802969,0.07851207,0.073216659,0.278466118,0.271667018,0.280200054,0.27058577,1.344178961,1.355314058,1.324991188,1.317230033
1,366,0.726775956,1.576755824,0.686874595,35.05907186,205.9913,0.921056682,0.390514869,0.37915581,0.397801305,0.391983968,10.99301761,11.09979545,9.184387562,10.30714647,573.4428428,561.8814369,404.5326266,518.631342,0.103901848,0.101430109,0.108817294,0.101958723,0.322338095,0.31848094,0.329874664,0.31930976,1.207590852,1.19579127,1.141323024,1.187012615
1,370,0.675675676,1.646200392,0.737199011,37.96271351,215.9321946,0.914231805,0.422617039,0.426565494,0.445597459,0.422296814,9.832123552,9.120085299,7.625172603,9.33284464,475.2043685,433.0165045,331.4033205,434.6999422,0.124537638,0.12249048,0.130918744,0.122522957,0.352898906,0.3499864,0.361826954,0.350032794,0.761957839,0.765466177,0.73773564,0.762362999
1,406,0.692118227,1.768706639,0.721784151,31.47995372,208.7777203,0.940995795,0.47691842,0.481857339,0.507273921,0.478816334,8.660776754,8.177892128,6.529636762,8.315597105,481.7200864,454.0757853,364.4600598,483.253435,0.164630638,0.161535392,0.169286136,0.162141809,0.405747012,0.401914658,0.411443964,0.402668361,0.971931741,0.937490206,0.838881142,0.956406765
1,369,0.81300813,1.53848292,0.582252334,26.81943089,207.6736766,0.840885618,0.341843741,0.340009775,0.344815835,0.333974812,16.20763401,15.68542207,15.64510989,17.27588856,770.1678563,742.5111348,726.9913919,850.5298501,0.093514104,0.090470949,0.095040313,0.090587276,0.305800759,0.300783891,0.30828609,0.300977203,1.914107025,1.896028901,1.89206155,1.925999407
1,350,0.742857143,1.616599456,0.669449972,30.2343956,195.0983297,0.884283192,0.383727561,0.384632531,0.392335467,0.378580824,17.21542857,15.94595602,15.19968785,17.21745168,1076.876515,953.6532131,890.9872018,1064.868802,0.121546398,0.118983293,0.12506308,0.118232147,0.34863505,0.34493955,0.353642588,0.343849018,1.667934165,1.627558075,1.622377625,1.66566257
1,298,0.842281879,1.448016184,0.539037323,30.97315436,203.7961844,0.849075953,0.329938102,0.314419927,0.330359142,0.315845715,13.4946527,14.2320499,12.95031478,14.60388609,708.8225023,782.2963315,686.5071727,827.4331846,0.072104097,0.067151527,0.073952434,0.067376042,0.268522061,0.259136117,0.271941968,0.259568955,1.469710229,1.448658624,1.47378223,1.510005565
1,315,0.825396825,1.376181474,0.564552992,32.09688645,197.2993284,0.842184418,0.289840234,0.283466766,0.290475478,0.270493842,15.62299409,14.9298131,15.40028536,18.31056572,867.179944,774.7217393,832.7545037,1055.391781,0.052677936,0.050513348,0.056117865,0.049618598,0.229516743,0.224751747,0.236892096,0.222752325,1.764380122,1.722291929,1.80921474,1.893154085
1,340,0.882352941,1.337292769,0.470588235,35.01293137,202.6280588,0.869585679,0.285947522,0.283819022,0.283692253,0.265205626,12.75394816,11.92887307,11.77120398,14.342463,549.5220638,491.8594755,459.9568358,633.8694096,0.047195562,0.044024576,0.047390646,0.043357497,0.217245396,0.209820343,0.217693928,0.208224631,1.397578417,1.341652655,1.331895642,1.416718186
1,362,0.806629834,1.464277551,0.591056944,33.25400174,204.0005865,0.876432083,0.322759638,0.304315363,0.314299766,0.309980056,12.53113751,13.75256052,12.77689843,12.98269708,537.4185227,579.498196,505.4357757,542.8092993,0.06822027,0.06546103,0.070723681,0.065467924,0.261190104,0.255853532,0.265939243,0.255867005,1.601666958,1.613911128,1.589571812,1.588729405
1,347,0.832853026,1.54836568,0.553494207,28.76353918,215.6122872,0.902163366,0.395213193,0.390637137,0.402760917,0.39131215,9.602721516,9.477939747,8.760345211,9.653848908,401.4196026,387.9636438,352.3683098,417.8032019,0.104421718,0.100909394,0.106463286,0.100793442,0.323143495,0.31766239,0.326287123,0.317479829,1.091407389,1.070761004,1.067085985,1.091081355
1,320,0.8125,1.483793303,0.582961191,29.20323317,221.7102524,0.824668682,0.334286542,0.327195538,0.339582234,0.325672062,13.79095588,13.86545688,12.85020757,14.40563192,520.1502451,531.9589597,469.1583394,556.7791238,0.083257024,0.078781209,0.085148425,0.07917994,0.288542933,0.280679904,0.29180203,0.281389303,1.372231223,1.368490458,1.359730391,1.381992877
1,340,0.782352941,1.518366799,0.622835352,28.00864662,221.6026205,0.857249852,0.37566273,0.369142915,0.377558013,0.363235947,10.53558711,10.57013359,10.00933677,11.17659487,429.8612576,445.7063795,405.3169566,454.8663895,0.094924827,0.090879807,0.096948306,0.091239472,0.308098729,0.301462779,0.311365229,0.302058723,1.27232238,1.240154366,1.248123511,1.288924102
1,344,0.773255814,1.530282379,0.634094193,29.7485028,205.5233323,0.877409978,0.339580486,0.326439319,0.34107662,0.333058985,14.6892208,15.74763134,13.74580256,14.57904131,768.9238506,788.4430287,623.2831415,757.0387405,0.083743838,0.080055913,0.086150304,0.080279053,0.289385276,0.282941536,0.29351372,0.283335583,1.827475704,1.851953197,1.776064258,1.781394681
1,354,0.711864407,1.494722027,0.702316927,36.56746032,203.3392521,0.857694683,0.332172096,0.323958954,0.336250772,0.324593398,17.61377204,17.48215438,16.01836312,18.01630184,947.0218784,910.3933065,784.5991154,968.6601267,0.085362806,0.082099773,0.088661227,0.082217786,0.292169139,0.286530579,0.297760351,0.286736439,1.824650856,1.805526096,1.791911045,1.83662107
1,331,0.773413897,1.558520862,0.633901367,31.79901105,209.5759063,0.906158193,0.389979525,0.387210909,0.403845409,0.386578235,11.14796404,10.88745692,9.25649444,10.76333673,558.3605397,549.6617397,413.0812164,523.1914956,0.10186216,0.098788249,0.10592536,0.098485428,0.319158519,0.31430598,0.325461764,0.313823881,0.943967348,0.931187983,0.924972873,0.935582231
1,337,0.87537092,1.403076706,0.483451913,34.46367248,208.3436302,0.778196548,0.286745643,0.275235218,0.283539497,0.273833418,17.94484805,19.91331538,19.16217072,20.10140037,829.03172,974.9197238,924.3638044,989.0000722,0.061087794,0.057737046,0.061957582,0.057651851,0.24715945,0.240285343,0.248912801,0.240107998,2.015291974,2.053684929,2.039065885,2.055928062
